DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2021-06-02 07:30:00,2021,Jun,1,SNG,2,1,730,999.0,1.0,,60.0,2,6.0,3625.0,6359.0,,,,,14.3,13.4,12.7,90.0,833.6,1495.0,1018.3,,,
2021-06-02 07:30:00,2021,Jun,56,GKP,2,1,730,999.0,2.0,,60.0,2,3.0,3075.0,,,,,,27.2,26.0,25.9,90.0,995.2,1003.9,1004.5,,,
2021-06-02 07:30:00,2021,Jun,17,HND,2,1,730,999.0,2.0,,20.0,10,2.0,2360.0,,,,,,27.0,23.8,22.3,75.0,981.0,1004.9,1006.3,,,
2021-06-02 08:00:00,2021,Jun,1,SNG,2,1,800,999.0,2.0,,60.0,1,5.0,2625.0,5359.0,,,,,15.8,14.3,13.1,84.0,833.8,1496.0,1018.5,,,
2021-06-02 08:00:00,2021,Jun,56,GKP,2,1,800,999.0,2.0,,60.0,1,2.0,2075.0,,,,,,28.2,25.0,25.0,83.0,995.6,1004.4,1004.8,,,
2021-06-02 08:00:00,2021,Jun,10,CDH,2,1,800,170.0,3.0,,60.0,1,4.0,1630.0,3360.0,,,,,28.1,13.6,21.4,67.0,969.5,1004.2,1006.4,,,
2021-06-02 08:00:00,2021,Jun,17,HND,2,1,800,999.0,2.0,,28.0,3,3.0,3360.0,,,,,,28.0,24.0,22.1,70.0,981.4,1005.2,1006.7,,,
2021-06-02 08:30:00,2021,Jun,10,CDH,2,4,830,160.0,4.0,,60.0,1,3.0,3360.0,,,,,,28.4,23.7,21.3,65.0,969.4,1004.1,1006.4,232.0,0.0,0.0
2021-06-02 08:30:00,2021,Jun,1,SNG,2,4,830,999.0,2.0,,60.0,2,5.0,2625.0,4359.0,,,,,17.6,15.7,14.1,80.0,833.8,1495.0,1018.5,104.0,0.0,3.601
2021-06-02 08:30:00,2021,Jun,56,GKP,2,4,830,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,28.2,25.0,25.0,82.0,995.7,1004.5,1004.9,218.0,0.0,25.8
2021-06-02 08:30:00,2021,Jun,17,HND,2,4,830,70.0,5.0,,35.0,5,4.0,2360.0,3075.0,,,,,28.8,24.4,22.3,68.0,981.3,1005.0,1006.6,244.0,0.0,0.0
2021-06-02 09:00:00,2021,Jun,17,HND,2,1,900,70.0,5.0,,45.0,5,2.0,2075.0,,,,,,29.6,24.6,22.2,65.0,981.0,1004.7,1006.3,,,
2021-06-02 09:00:00,2021,Jun,1,SNG,2,1,900,999.0,2.0,,60.0,1,4.0,1620.0,3625.0,2359.0,,,,17.6,15.3,13.6,78.0,833.8,1495.0,1018.5,,,
2021-06-02 09:00:00,2021,Jun,56,GKP,2,1,900,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,29.0,25.5,25.4,80.0,996.1,1004.9,1005.3,,,
